,Wave (Angstroms),Throughput
779,8600.0,5.764169477588788e-05
780,8610.0,5.748961388681328e-05
781,8620.0,5.733729917735433e-05
782,8630.0,5.718476922249123e-05
783,8640.0,5.7119875897905475e-05
784,8650.0,5.70543070305159e-05
785,8660.0,5.698795568086075e-05
786,8670.0,5.692100203478322e-05
787,8680.0,5.685336947182417e-05
788,8690.0,5.678504045088777e-05
789,8700.0,5.6716050062969385e-05
790,8710.0,5.664626658134934e-05
791,8720.0,5.657589386852119e-05
792,8730.0,5.677114276833175e-05
793,8740.0,5.6965784006003985e-05
794,8750.0,5.71598131325639e-05
795,8760.0,5.73532078375705e-05
796,8770.0,5.7545873068394977e-05
797,8780.0,5.773798832927302e-05
798,8790.0,5.792945021311344e-05
799,8800.0,5.8120236705696404e-05
800,8810.0,5.822916842064998e-05
801,8820.0,5.833702417407586e-05
802,8830.0,5.8444007989542904e-05
803,8840.0,5.864873328289504e-05
804,8850.0,5.88527775036565e-05
805,8860.0,5.905614844893283e-05
806,8870.0,5.925882204629349e-05
807,8880.0,5.9460708212837675e-05
808,8890.0,5.966197290921159e-05
809,8900.0,5.9862508461344254e-05
810,8910.0,5.982647583770898e-05
811,8920.0,5.978959418307291e-05
812,8930.0,5.9801264424458673e-05
813,8940.0,5.976271446749484e-05
814,8950.0,5.9723217373785154e-05
815,8960.0,5.973238672206854e-05
816,8970.0,5.969157878968512e-05
817,8980.0,5.969989940240271e-05
818,8990.0,5.965861022445507e-05
819,9000.0,5.9616745483887545e-05
820,9010.0,5.948540117179328e-05
821,9020.0,5.9305589894352185e-05
822,9030.0,5.917565604027827e-05
823,9040.0,5.9047139081967825e-05
824,9050.0,5.891916026852355e-05
825,9060.0,5.88404602887099e-05
826,9070.0,5.871321997468102e-05
827,9080.0,5.8635174952063514e-05
828,9090.0,5.850853261307872e-05
829,9100.0,5.838230588994923e-05
830,9110.0,5.830480340601432e-05
831,9120.0,5.8179040039358554e-05
832,9130.0,5.8101863356086734e-05
833,9140.0,5.797637247863905e-05
834,9150.0,5.7899401853547084e-05
835,9160.0,5.777415610815709e-05
836,9170.0,5.7697210248010726e-05
837,9180.0,5.757208573803066e-05
838,9190.0,5.749503630894662e-05
839,9200.0,5.736992938547969e-05
840,9210.0,5.7253901458007594e-05
841,9220.0,5.709007594028275e-05
842,9230.0,5.6974182886370355e-05
843,9240.0,5.686041534333157e-05
844,9250.0,5.6794068595707394e-05
845,9260.0,5.6679864536255496e-05
846,9270.0,5.661288326440274e-05
847,9280.0,5.6498062493702535e-05
848,9290.0,5.6430330833002906e-05
849,9300.0,5.631488150180863e-05
850,9310.0,5.6246326905864876e-05
851,9320.0,5.613014149561804e-05
852,9330.0,5.606063821653457e-05
853,9340.0,5.594353903479737e-05
854,9350.0,5.587301297933938e-05
855,9360.0,5.575492183151416e-05
856,9370.0,5.568335630732964e-05
857,9380.0,5.556416702750538e-05
858,9390.0,5.549129232169515e-05
859,9400.0,5.5417832160250364e-05
860,9410.0,5.5245098437230945e-05
861,9420.0,5.5118575456903195e-05
862,9430.0,5.49452149065635e-05
863,9440.0,5.484833527231705e-05
864,9450.0,5.470455865084794e-05
865,9460.0,5.4606361305866565e-05
866,9470.0,5.450742835349136e-05
867,9480.0,5.436184963110845e-05
868,9490.0,5.426152488718872e-05
869,9500.0,5.4160452112390965e-05
870,9510.0,5.4004410441671034e-05
871,9520.0,5.3893336050137865e-05
872,9530.0,5.373601295239052e-05
873,9540.0,5.362347222697081e-05
874,9550.0,5.351007166935937e-05
875,9560.0,5.3350569371693465e-05
876,9570.0,5.323556260795129e-05
877,9580.0,5.311962490426564e-05
878,9590.0,5.2957876173195636e-05
879,9600.0,5.284019767046857e-05
880,9610.0,5.27023292664523e-05
881,9620.0,5.251895118931307e-05
882,9630.0,5.2379440364848015e-05
883,9640.0,5.225999399782737e-05
884,9650.0,5.209510504763518e-05
885,9660.0,5.197370801243074e-05
886,9670.0,5.1851183607745736e-05
887,9680.0,5.168361835060654e-05
888,9690.0,5.1559027521179074e-05
889,9700.0,5.143339212923959e-05
890,9710.0,5.126298365623216e-05
891,9720.0,5.1135243102869674e-05
892,9730.0,5.1006317841953074e-05
893,9740.0,5.083297602965522e-05
894,9750.0,5.070184008684239e-05
895,9760.0,5.056955688315926e-05
896,9770.0,5.043612025499477e-05
897,9780.0,5.025859165432104e-05
898,9790.0,5.012285186115832e-05
899,9800.0,4.9985905049604356e-05
900,9810.0,4.982176508509521e-05
901,9820.0,4.961417890580851e-05
902,9830.0,4.944803482020578e-05
903,9840.0,4.930612283321771e-05
904,9850.0,4.916297383359698e-05
905,9860.0,4.897661881024301e-05
